Printout for SDDS file out/kick/kicker.chs

       s        ElementName  ElementType      betax          betay          alphax         alphay          etax          etaxp           etay          etayp           psix           psiy           psi            enx            eny         pCentral0   
       m                                        m              m                                            m                             m                            rad            rad          radians           m              m           m$be$nc    
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1.770000e+01          LM0     CSRDRIFT   2.682505e+01   1.634650e+01   1.342149e+00  -8.408810e-01   2.115308e-15  -4.032399e-17   0.000000e+00   0.000000e+00   8.437787e-01   8.987799e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.820000e+01          LM0     CSRDRIFT   2.550900e+01   1.721349e+01   1.289934e+00  -8.930965e-01   2.095146e-15  -4.032399e-17   0.000000e+00   0.000000e+00   8.628939e-01   9.285916e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.870000e+01          LM0     CSRDRIFT   2.424518e+01   1.813270e+01   1.237718e+00  -9.453120e-01   2.074984e-15  -4.032399e-17   0.000000e+00   0.000000e+00   8.830006e-01   9.568966e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.920000e+01          LM0     CSRDRIFT   2.303357e+01   1.910412e+01   1.185503e+00  -9.975275e-01   2.054822e-15  -4.032399e-17   0.000000e+00   0.000000e+00   9.041603e-01   9.837641e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.970000e+01          LM0     CSRDRIFT   2.187417e+01   2.012775e+01   1.133288e+00  -1.049743e+00   2.034660e-15  -4.032399e-17   0.000000e+00   0.000000e+00   9.264374e-01   1.009265e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.020000e+01          LM0     CSRDRIFT   2.076699e+01   2.120360e+01   1.081072e+00  -1.101958e+00   2.014498e-15  -4.032399e-17   0.000000e+00   0.000000e+00   9.498990e-01   1.033470e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.070000e+01          LM0     CSRDRIFT   1.971203e+01   2.233167e+01   1.028857e+00  -1.154174e+00   1.994336e-15  -4.032399e-17   0.000000e+00   0.000000e+00   9.746140e-01   1.056450e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.120000e+01          LM0     CSRDRIFT   1.870928e+01   2.351195e+01   9.766411e-01  -1.206389e+00   1.974174e-15  -4.032399e-17   0.000000e+00   0.000000e+00   1.000653e+00   1.078272e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.170000e+01          LM0     CSRDRIFT   1.775874e+01   2.474445e+01   9.244256e-01  -1.258605e+00   1.954012e-15  -4.032399e-17   0.000000e+00   0.000000e+00   1.028087e+00   1.099003e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.220000e+01          LM0     CSRDRIFT   1.686043e+01   2.602916e+01   8.722101e-01  -1.310820e+00   1.933850e-15  -4.032399e-17   0.000000e+00   0.000000e+00   1.056987e+00   1.118706e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.270000e+01          LM0     CSRDRIFT   1.601432e+01   2.736609e+01   8.199947e-01  -1.363036e+00   1.913688e-15  -4.032399e-17   0.000000e+00   0.000000e+00   1.087420e+00   1.137441e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.320000e+01          LM0     CSRDRIFT   1.522044e+01   2.875523e+01   7.677792e-01  -1.415251e+00   1.893526e-15  -4.032399e-17   0.000000e+00   0.000000e+00   1.119451e+00   1.155266e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.370000e+01          LM0     CSRDRIFT   1.447877e+01   3.019659e+01   7.155637e-01  -1.467467e+00   1.873364e-15  -4.032399e-17   0.000000e+00   0.000000e+00   1.153139e+00   1.172235e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.380000e+01          LM1     CSRDRIFT   1.433670e+01   3.049113e+01   7.051206e-01  -1.477910e+00   1.869332e-15  -4.032399e-17   0.000000e+00   0.000000e+00   1.160080e+00   1.175531e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  2.390000e+01          LM1     CSRDRIFT   1.419672e+01   3.078775e+01   6.946775e-01  -1.488353e+00   1.865300e-15  -4.032399e-17   0.000000e+00   0.000000e+00   1.167089e+00   1.178794e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
