Printout for SDDS file out/ltu2/run.chs

       s        ElementName  ElementType      betax          betay          alphax         alphay          etax          etaxp           etay          etayp           psix           psiy           psi            enx            eny         pCentral0   
       m                                        m              m                                            m                             m                            rad            rad          radians           m              m           m$be$nc    
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  0.000000e+00        _BEG_         MARK   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.086074e-07   2.513977e-07   1.631685e+04 
  0.000000e+00            Q       CHARGE   1.000000e+00   1.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.086074e-07   2.513977e-07   1.631685e+04 
  0.000000e+00       TWISS1        TWISS   1.715065e+00   4.205733e+00  -6.276341e-07   9.992480e-08   1.000000e-16   1.000000e-16   1.000000e-16   1.000000e-16   0.000000e+00   0.000000e+00   0.000000e+00   3.086074e-07   2.513977e-07   1.631685e+04 
  2.500000e-01          B2S    CSRCSBEND   1.751211e+00   4.220671e+00  -1.445757e-01  -5.959823e-02  -1.636223e-03  -1.308960e-02   1.250009e-16   1.000037e-16   1.447558e-01   5.937226e-02   0.000000e+00   3.318980e-07   2.513962e-07   1.631685e+04 
  2.500000e-01          MB0         MARK   1.751211e+00   4.220671e+00  -1.445757e-01  -5.959823e-02  -1.636223e-03  -1.308960e-02   1.250009e-16   1.000037e-16   1.447558e-01   5.937226e-02   0.000000e+00   3.318980e-07   2.513962e-07   1.631685e+04 
  5.000000e-01          B2S    CSRCSBEND   1.859624e+00   4.265331e+00  -2.916014e-01  -1.133509e-01  -6.544611e-03  -2.618592e-02   1.500019e-16   9.980360e-17   2.837333e-01   1.183278e-01   0.000000e+00   3.961562e-07   2.513942e-07   1.631685e+04 
  1.000000e+00          LM0     CSRDRIFT   2.297093e+00   4.438047e+00  -5.833354e-01  -2.320812e-01  -1.963757e-02  -2.618592e-02   1.999036e-16   9.980360e-17   5.280754e-01   2.335028e-01   0.000000e+00   3.961547e-07   2.513932e-07   1.631685e+04 
  1.500000e+00          LM0     CSRDRIFT   3.026295e+00   4.729494e+00  -8.750695e-01  -3.508115e-01  -3.273053e-02  -2.618592e-02   2.498054e-16   9.980360e-17   7.188687e-01   3.428563e-01   0.000000e+00   3.961540e-07   2.513928e-07   1.631685e+04 
  2.000000e+00          LM0     CSRDRIFT   4.047232e+00   5.139670e+00  -1.166804e+00  -4.695419e-01  -4.582349e-02  -2.618592e-02   2.997072e-16   9.980360e-17   8.622274e-01   4.444442e-01   0.000000e+00   3.961536e-07   2.513925e-07   1.631685e+04 
  2.500000e+00          LM0     CSRDRIFT   5.359902e+00   5.668577e+00  -1.458538e+00  -5.882722e-01  -5.891645e-02  -2.618592e-02   3.496090e-16   9.980360e-17   9.697873e-01   5.372102e-01   0.000000e+00   3.961533e-07   2.513923e-07   1.631685e+04 
  3.000000e+00          LM0     CSRDRIFT   6.964307e+00   6.316215e+00  -1.750272e+00  -7.070026e-01  -7.200941e-02  -2.618592e-02   3.995108e-16   9.980360e-17   1.051716e+00   6.208689e-01   0.000000e+00   3.961530e-07   2.513922e-07   1.631685e+04 
  3.500000e+00          LM0     CSRDRIFT   8.860445e+00   7.082583e+00  -2.042006e+00  -8.257329e-01  -8.510238e-02  -2.618592e-02   4.494126e-16   9.980360e-17   1.115410e+00   6.956946e-01   0.000000e+00   3.961528e-07   2.513920e-07   1.631685e+04 
