0.000000000000000e+00 _BEG_ 1.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
0.000000000000000e+00 Q 1.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
0.000000000000000e+00 TWISS2 1.553173000000000e+01 0.000000000000000e+00 -3.513492665210838e-20 -3.513492665210838e-20 2.819323000000000e+01 2.010599000000000e-15 1.578031000000000e-02 1.394365000000000e-16 -1.391911000000000e-03
5.000000000000000e-01 B3SA 1.634253948258409e+01 0.000000000000000e+00 -3.290396050447515e-14 -3.290396050447515e-14 2.682529917879641e+01 3.926910072141583e-03 1.508445962799530e-02 1.570731731182081e-02 -1.391499759500989e-03
5.000000000000000e-01 MB0 1.634253948258409e+01 0.000000000000000e+00 -3.290396050447515e-14 -3.290396050447515e-14 2.682529917879641e+01 3.926910072141583e-03 1.508445962799530e-02 1.570731731182081e-02 -1.391499759500989e-03
1.000000000000000e+00 B3SB 1.719709600704625e+01 0.000000000000000e+00 -7.171435641610882e-14 -7.171435641610882e-14 2.551026438898074e+01 1.570667138225878e-02 1.438881024050401e-02 3.142626604335129e-02 -1.405312448654331e-03
1.500000000000000e+00 LM0 1.811636045761138e+01 0.000000000000000e+00 -5.961116161169624e-15 -5.961116161169624e-15 2.422318146687845e+01 3.141980440393442e-02 1.368615401617684e-02 3.142626604335129e-02 -1.405312448654331e-03
2.000000000000000e+00 LM0 1.908789195524318e+01 0.000000000000000e+00 5.979212214559380e-14 5.979212214559380e-14 2.298952931182548e+01 4.713293742561007e-02 1.298349779184968e-02 3.142626604335129e-02 -1.405312448654331e-03
2.500000000000000e+00 LM0 2.011169049994164e+01 0.000000000000000e+00 1.255453605878825e-13 1.255453605878825e-13 2.180930792382183e+01 6.284607044728571e-02 1.228084156752251e-02 3.142626604335129e-02 -1.405312448654331e-03
3.000000000000000e+00 LM0 2.118775609170678e+01 0.000000000000000e+00 1.912986001482547e-13 1.912986001482547e-13 2.068251730286750e+01 7.855920346896136e-02 1.157818534319534e-02 3.142626604335129e-02 -1.405312448654331e-03
3.500000000000000e+00 LM0 2.231608873053858e+01 0.000000000000000e+00 2.570518393782840e-13 2.570518393782840e-13 1.960915744896248e+01 9.427233649063702e-02 1.087552911886818e-02 3.142626604335129e-02 -1.405312448654331e-03
4.000000000000000e+00 LM0 2.349668841643706e+01 0.000000000000000e+00 3.228050774224672e-13 3.228050774224672e-13 1.858922836210678e+01 1.099854695123127e-01 1.017287289454101e-02 3.142626604335129e-02 -1.405312448654331e-03
4.500000000000000e+00 LM0 2.472955514940221e+01 0.000000000000000e+00 3.885583145433845e-13 3.885583145433845e-13 1.762273004230039e+01 1.256986025339883e-01 9.470216670213848e-03 3.142626604335129e-02 -1.405312448654331e-03
5.000000000000000e+00 LM0 2.601468892943403e+01 0.000000000000000e+00 4.543115509866755e-13 4.543115509866755e-13 1.670966248954332e+01 1.414117355556640e-01 8.767560445886682e-03 3.142626604335129e-02 -1.405312448654331e-03
5.500000000000000e+00 LM0 2.735208975653252e+01 0.000000000000000e+00 5.200647877179576e-13 5.200647877179576e-13 1.585002570383557e+01 1.571248685773396e-01 8.064904221559517e-03 3.142626604335129e-02 -1.405312448654331e-03
6.000000000000000e+00 LM0 2.874175763069768e+01 0.000000000000000e+00 5.858180249744001e-13 5.858180249744001e-13 1.504381968517714e+01 1.728380015990153e-01 7.362247997232351e-03 3.142626604335129e-02 -1.405312448654331e-03
6.500000000000000e+00 LM0 3.018369255192951e+01 0.000000000000000e+00 6.515712631541087e-13 6.515712631541087e-13 1.429104443356802e+01 1.885511346206909e-01 6.659591772905185e-03 3.142626604335129e-02 -1.405312448654331e-03
6.600000000000000e+00 LM1 3.047835158182388e+01 0.000000000000000e+00 6.647219107256758e-13 6.647219107256758e-13 1.414690107529212e+01 1.916937612250260e-01 6.519060528039753e-03 3.142626604335129e-02 -1.405312448654331e-03
6.699999999999999e+00 LM1 3.077510129360091e+01 0.000000000000000e+00 6.778725582294803e-13 6.778725582294803e-13 1.400489494769818e+01 1.948363878293612e-01 6.378529283174320e-03 3.142626604335129e-02 -1.405312448654331e-03
6.799999999999999e+00 LM1 3.107394168726061e+01 0.000000000000000e+00 6.910232058010476e-13 6.910232058010476e-13 1.386502605078623e+01 1.979790144336963e-01 6.237998038308887e-03 3.142626604335129e-02 -1.405312448654331e-03
6.899999999999999e+00 LM1 3.137487276280298e+01 0.000000000000000e+00 7.041738532963818e-13 7.041738532963818e-13 1.372729438455624e+01 2.011216410380314e-01 6.097466793443454e-03 3.142626604335129e-02 -1.405312448654331e-03
7.099999999999999e+00 QB31 3.109045806095510e+01 0.000000000000000e+00 -1.916187894909253e-13 -1.916187894909253e-13 1.384597303540985e+01 2.045328878618694e-01 5.901715755311731e-03 2.605568312292517e-03 -5.568206577650765e-04
7.299999999999999e+00 QB31 2.908396101113977e+01 0.000000000000000e+00 -2.930483193382008e-12 -2.930483193382008e-12 1.477263899700243e+01 2.021589505059033e-01 5.873684580168896e-03 -2.628882755473475e-02 2.758469409228356e-04
7.799999999999999e+00 LM0 2.249703905312912e+01 0.000000000000000e+00 -1.212348773692589e-11 -1.212348773692589e-11 1.837931715424018e+01 1.890145367285359e-01 6.011608050630314e-03 -2.628882755473475e-02 2.758469409228356e-04
