_BEG_ 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
Q 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
TWISS0 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
QLF 1.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
QLF 2.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 2.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
LM1 3.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 3.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
LM1 4.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 4.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
LM1 5.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 5.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
LM1 6.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 6.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
LM1 7.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 7.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
LM1 7.999999999999999e-01 0.000000000000000e+00 0.000000000000000e+00 7.999999999999999e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
LM1 8.999999999999999e-01 0.000000000000000e+00 0.000000000000000e+00 8.999999999999999e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
LL0 1.150000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.150000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
BK 1.550000000000000e+00 -6.123233958522989e-22 -9.999999939225290e-06 1.549999999833333e+00 -3.061617000419731e-21 -5.000000000000000e-05 -7.654042504205367e-26
BK 1.950000000000000e+00 -2.449293589066008e-21 -3.999999984928391e-05 1.949999998666667e+00 -6.123234016147546e-21 -1.000000000000000e-04 -3.061617010937410e-25
LL0 2.200000000000000e+00 -3.980102085448852e-21 -6.499999980761725e-05 2.199999997416667e+00 -6.123234016147546e-21 -1.000000000000000e-04 -3.061617010937410e-25
LL0 2.450000000000000e+00 -5.510910581831696e-21 -8.999999976595059e-05 2.449999996166667e+00 -6.123234016147546e-21 -1.000000000000000e-04 -3.061617010937410e-25
BK 2.850000000000000e+00 -8.572527567814389e-21 -1.399999995718426e-04 2.849999993000000e+00 -9.184851062491532e-21 -1.500000000000000e-04 -6.888638310253281e-25
BK 3.250000000000000e+00 -1.285879133891203e-20 -2.099999991485679e-04 3.249999986833334e+00 -1.224646815475977e-20 -2.000000000000000e-04 -1.224646819620591e-24
LL0 3.500000000000000e+00 -1.592040831636963e-20 -2.599999988152345e-04 3.499999981833334e+00 -1.224646815475977e-20 -2.000000000000000e-04 -1.224646819620591e-24
LL0 3.750000000000000e+00 -1.898202529382723e-20 -3.099999984819012e-04 3.749999976833334e+00 -1.224646815475977e-20 -2.000000000000000e-04 -1.224646819620591e-24
BK 4.149999999999999e+00 -2.449293583932415e-20 -3.999999976544599e-04 4.149999966666667e+00 -1.530808530826036e-20 -2.500000000000000e-04 -1.913510673576819e-24
BK 4.550000000000000e+00 -3.122849314544308e-20 -5.099999961978519e-04 4.549999951500000e+00 -1.836970253830138e-20 -3.000000000000000e-04 -2.755455401504809e-24
LL0 4.800000000000000e+00 -3.582091857335927e-20 -5.849999950728519e-04 4.799999940250000e+00 -1.836970253830138e-20 -3.000000000000000e-04 -2.755455401504809e-24
LL0 5.050000000000000e+00 -4.041334400127547e-20 -6.599999939478520e-04 5.049999929000000e+00 -1.836970253830138e-20 -3.000000000000000e-04 -2.755455401504809e-24
BK 5.450000000000000e+00 -4.837354805117751e-20 -7.899999915870773e-04 5.449999907833334e+00 -2.143131986019092e-20 -3.500000000000000e-04 -3.750481013928873e-24
BK 5.850000000000001e+00 -5.755839882496215e-20 -9.399999879971360e-04 5.849999879666668e+00 -2.449293728923707e-20 -4.000000000000001e-04 -4.898587523286831e-24
LL0 6.100000000000001e+00 -6.368163265741268e-20 -1.039999985330469e-03 6.099999859666668e+00 -2.449293728923707e-20 -4.000000000000001e-04 -4.898587523286831e-24
LL0 6.350000000000001e+00 -6.980486648986321e-20 -1.139999982663803e-03 6.349999839666668e+00 -2.449293728923707e-20 -4.000000000000001e-04 -4.898587523286831e-24
BK 6.750000000000001e+00 -8.021436396456833e-20 -1.309999977469695e-03 6.749999803500002e+00 -2.755455484074793e-20 -4.500000000000000e-04 -6.199774943930018e-24
BK 7.150000000000001e+00 -9.184850811417019e-20 -1.499999970246420e-03 7.149999758333337e+00 -3.061617253003158e-20 -5.000000000000000e-04 -7.654043292123279e-24
LL0 7.400000000000001e+00 -9.950255028992272e-20 -1.624999965038087e-03 7.399999727083338e+00 -3.061617253003158e-20 -5.000000000000000e-04 -7.654043292123279e-24
LM1 7.500000000000001e+00 -1.025641671602237e-19 -1.674999962954754e-03 7.499999714583338e+00 -3.061617253003158e-20 -5.000000000000000e-04 -7.654043292123279e-24
