Printout for SDDS file out/ltu1/run.chs

       s        ElementName  ElementType      betax          betay          alphax         alphay          etax          etaxp           etay          etayp           psix           psiy           psi            enx            eny         pCentral0   
       m                                        m              m                                            m                             m                            rad            rad          radians           m              m           m$be$nc    
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  3.500000e+00          LM1     CSRDRIFT   2.233167e+01   1.971203e+01   1.154174e+00  -1.028856e+00   4.140582e-16   8.941992e-17  -2.200000e-04  -2.000000e-04   1.319899e-01   2.138260e-01   1.224647e-24   3.086079e-07   2.514538e-07   1.631685e+04 
  3.750000e+00           BK    CSRCSBEND   2.176111e+01   2.023299e+01   1.128066e+00  -1.054964e+00   4.364132e-16   8.941992e-17  -2.762500e-04  -2.500000e-04   1.433308e-01   2.263446e-01   1.913511e-24   3.086079e-07   2.514884e-07   1.631685e+04 
  4.000000e+00           BK    CSRCSBEND   2.120360e+01   2.076699e+01   1.101959e+00  -1.081071e+00   4.587682e-16   8.941992e-17  -3.450000e-04  -3.000000e-04   1.549695e-01   2.385410e-01   2.755455e-24   3.086079e-07   2.515316e-07   1.631685e+04 
  4.100000e+00          LM1     CSRDRIFT   2.098425e+01   2.098425e+01   1.091516e+00  -1.091514e+00   4.677102e-16   8.941992e-17  -3.750000e-04  -3.000000e-04   1.597103e-01   2.433314e-01   2.755455e-24   3.086079e-07   2.515316e-07   1.631685e+04 
  4.200000e+00          LM1     CSRDRIFT   2.076699e+01   2.120360e+01   1.081072e+00  -1.101957e+00   4.766522e-16   8.941992e-17  -4.050000e-04  -3.000000e-04   1.645007e-01   2.480722e-01   2.755455e-24   3.086079e-07   2.515316e-07   1.631685e+04 
  4.300000e+00          LM1     CSRDRIFT   2.055182e+01   2.142504e+01   1.070629e+00  -1.112400e+00   4.855942e-16   8.941992e-17  -4.350000e-04  -3.000000e-04   1.693412e-01   2.527639e-01   2.755455e-24   3.086079e-07   2.515316e-07   1.631685e+04 
  4.400000e+00          LM1     CSRDRIFT   2.033874e+01   2.164856e+01   1.060186e+00  -1.122844e+00   4.945362e-16   8.941992e-17  -4.650000e-04  -3.000000e-04   1.742324e-01   2.574072e-01   2.755455e-24   3.086079e-07   2.515316e-07   1.631685e+04 
  4.650000e+00           BK    CSRCSBEND   1.981518e+01   2.221651e+01   1.034079e+00  -1.148951e+00   5.168912e-16   8.941992e-17  -5.462500e-04  -3.500000e-04   1.866858e-01   2.688070e-01   3.750481e-24   3.086079e-07   2.515851e-07   1.631685e+04 
  4.900000e+00           BK    CSRCSBEND   1.930466e+01   2.279751e+01   1.007971e+00  -1.175058e+00   5.392461e-16   8.941992e-17  -6.400000e-04  -4.000000e-04   1.994685e-01   2.799158e-01   4.898588e-24   3.086079e-07   2.516483e-07   1.631685e+04 
  5.000000e+00          LM1     CSRDRIFT   1.910411e+01   2.303357e+01   9.975277e-01  -1.185502e+00   5.481881e-16   8.941992e-17  -6.800000e-04  -4.000000e-04   2.046757e-01   2.842797e-01   4.898588e-24   3.086079e-07   2.516483e-07   1.631685e+04 
  5.100000e+00          LM1     CSRDRIFT   1.890565e+01   2.327171e+01   9.870846e-01  -1.195945e+00   5.571301e-16   8.941992e-17  -7.200000e-04  -4.000000e-04   2.099376e-01   2.885990e-01   4.898588e-24   3.086079e-07   2.516483e-07   1.631685e+04 
  5.200000e+00          LM1     CSRDRIFT   1.870928e+01   2.351195e+01   9.766415e-01  -1.206388e+00   5.660721e-16   8.941992e-17  -7.600000e-04  -4.000000e-04   2.152548e-01   2.928740e-01   4.898588e-24   3.086079e-07   2.516483e-07   1.631685e+04 
  5.300000e+00          LM1     CSRDRIFT   1.851500e+01   2.375427e+01   9.661984e-01  -1.216831e+00   5.750141e-16   8.941992e-17  -8.000000e-04  -4.000000e-04   2.206277e-01   2.971055e-01   4.898588e-24   3.086079e-07   2.516483e-07   1.631685e+04 
  5.550000e+00           BK    CSRCSBEND   1.803842e+01   2.436921e+01   9.400906e-01  -1.242938e+00   5.973691e-16   8.941992e-17  -9.062500e-04  -4.500000e-04   2.343079e-01   3.074964e-01   6.199775e-24   3.086079e-07   2.517231e-07   1.631685e+04 
  5.800000e+00           BK    CSRCSBEND   1.757491e+01   2.499721e+01   9.139829e-01  -1.269046e+00   6.197241e-16   8.941992e-17  -1.025000e-03  -5.000000e-04   2.483493e-01   3.176258e-01   7.654043e-24   3.086079e-07   2.518087e-07   1.631685e+04 
  5.900000e+00          LM1     CSRDRIFT   1.739315e+01   2.525206e+01   9.035398e-01  -1.279489e+00   6.286661e-16   8.941992e-17  -1.075000e-03  -5.000000e-04   2.540689e-01   3.216060e-01   7.654043e-24   3.086079e-07   2.518087e-07   1.631685e+04 
  6.000000e+00          LM1     CSRDRIFT   1.721349e+01   2.550900e+01   8.930967e-01  -1.289932e+00   6.376081e-16   8.941992e-17  -1.125000e-03  -5.000000e-04   2.598482e-01   3.255461e-01   7.654043e-24   3.086079e-07   2.518087e-07   1.631685e+04 
  6.500000e+00          LM0     CSRDRIFT   1.634650e+01   2.682504e+01   8.408812e-01  -1.342147e+00   6.823180e-16   8.941992e-17  -1.375000e-03  -5.000000e-04   2.896600e-01   3.446613e-01   7.654043e-24   3.086079e-07   2.518087e-07   1.631685e+04 
  7.000000e+00          LM0     CSRDRIFT   1.553173e+01   2.819330e+01   7.886657e-01  -1.394363e+00   7.270280e-16   8.941992e-17  -1.625000e-03  -5.000000e-04   3.210447e-01   3.628437e-01   7.654043e-24   3.086079e-07   2.518087e-07   1.631685e+04 
  7.500000e+00          LM0     CSRDRIFT   1.476917e+01   2.961377e+01   7.364502e-01  -1.446578e+00   7.717379e-16   8.941992e-17  -1.875000e-03  -5.000000e-04   3.540635e-01   3.801487e-01   7.654043e-24   3.086079e-07   2.518087e-07   1.631685e+04 
  8.000000e+00          LM0     CSRDRIFT   1.405883e+01   3.108645e+01   6.842347e-01  -1.498793e+00   8.164479e-16   8.941992e-17  -2.125000e-03  -5.000000e-04   3.887695e-01   3.966287e-01   7.654043e-24   3.086079e-07   2.518087e-07   1.631685e+04 
  8.100000e+00         QLD0         QUAD   1.399051e+01   3.123657e+01   1.714509e-07   1.910338e-06   8.273671e-16   1.290522e-16  -2.164611e-03  -2.919453e-04   3.959056e-01   3.998352e-01   7.654043e-24   3.086078e-07   2.516270e-07   1.631685e+04 
  8.200000e+00         QLD0         QUAD   1.405883e+01   3.108645e+01  -6.842344e-01   1.498797e+00   8.422791e-16   1.693072e-16  -2.183359e-03  -8.298667e-05   4.030417e-01   4.030418e-01   7.654043e-24   3.086076e-07   2.515013e-07   1.631685e+04 
